id,categoria,product,image_url
bronsa-cuerta,pizze-venete,Bronsa cuerta,https://rs-menus-api.roocdn.com/images/71a71fe1-b9ac-4016-90ad-e0b89506d157/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
oce-oce,pizze-venete,Oce Oce,https://rs-menus-api.roocdn.com/images/cd5c0e39-5fd7-47c0-b00e-4a1e5424ed50/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
strafanto,pizze-venete,Strafanto,https://rs-menus-api.roocdn.com/images/9a55e9d1-9508-4771-8d9e-5fcb8b4b4c4d/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
vecia,pizze-venete,Vecia,https://rs-menus-api.roocdn.com/images/fc71f607-8738-45c7-9d80-a0275555fbaf/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
onto,pizze-venete,Onto,https://rs-menus-api.roocdn.com/images/d3f9826d-254a-4552-9ecc-6e4f16c63204/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
scarsea,pizze-venete,Scarsea,https://rs-menus-api.roocdn.com/images/a29d9ce3-0327-460d-83fb-6b78ac2cf3fc/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
selvadego,pizze-venete,Selvadego,https://rs-menus-api.roocdn.com/images/2aeba2cb-b0e5-48a4-a845-84c15ccca82e/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
rabalta,pizze-venete,Rabaltà,https://rs-menus-api.roocdn.com/images/577e04ca-2454-4fb7-ad82-675e2de1f587/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
baucca,pizze-venete,Baucca,https://rs-menus-api.roocdn.com/images/2fee8099-4671-4e92-9c68-a3e5d0ccb166/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
mona,pizze-venete,Mona,https://rs-menus-api.roocdn.com/images/3efc30cf-9bce-4bc9-88da-1011650ce4b3/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
indrio,pizze-venete,Indrio,https://rs-menus-api.roocdn.com/images/f57f792d-ef12-4b38-8b5b-48580fdc4372/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
sebastian,pizze-vegane,Sebastian,
cinzia,pizze-vegane,Cinzia,
adolfo,pizze-vegane,Adolfo,
mimmo,pizze-vegane,Mimmo,https://rs-menus-api.roocdn.com/images/ce6f9350-b4d6-4a69-8681-15b6b0b5b3e1/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
stefy,pizze-vegane,Stefy,https://rs-menus-api.roocdn.com/images/6584c72c-1a50-40a2-9704-5672f8bc2f74/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
sara,pizze-vegane,Sara,
rosalia,pizze-vegane,Rosalia,https://rs-menus-api.roocdn.com/images/0d317109-1b30-4a68-be26-da3f2dc6a146/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-ciaula,pizze-novita,A'ciaula,https://rs-menus-api.roocdn.com/images/ae9cb220-0176-4d18-9cff-9bf9576705c7/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-quartara,pizze-novita,A'quartara,https://rs-menus-api.roocdn.com/images/93a0740b-3979-4aed-89c1-dddf762ee64f/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-bagascia,pizze-novita,A'bagascia,
m-bare,pizze-novita,M'bare,
u-tumazzu,pizze-novita,U'tumazzu,
a-prescia,pizze-novita,A'prescia,
a-puveredda,pizze-novita,A' Puveredda,https://rs-menus-api.roocdn.com/images/30114d83-5bb3-43c9-b918-8a40ff5d39a0/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
milingiana-1,milingiana-friuta,Milingiana 1,https://rs-menus-api.roocdn.com/images/72f54577-684a-43fa-9701-be292131fc15/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
milingiana-2,milingiana-friuta,Milingiana 2,https://rs-menus-api.roocdn.com/images/957c89a3-4db4-4168-8195-12dab4639c16/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
milingiana-3,milingiana-friuta,Milingiana 3,https://rs-menus-api.roocdn.com/images/70909000-8fc0-4b6e-8e8d-789643853509/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
milingiana-4,milingiana-friuta,Milingiana 4,https://rs-menus-api.roocdn.com/images/b11fee0e-0659-4a92-8c57-63b05ad49adc/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
milingiana-5,milingiana-friuta,Milingiana 5,https://rs-menus-api.roocdn.com/images/a1f01aa3-0496-4f22-9898-c660e8826023/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
milingiana-6,milingiana-friuta,Milingiana 6,https://rs-menus-api.roocdn.com/images/957c89a3-4db4-4168-8195-12dab4639c16/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
milingiana-7,milingiana-friuta,Milingiana 7,https://rs-menus-api.roocdn.com/images/fd3285fb-b5b2-4952-a081-b20ddbafcc2c/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
i-patat-1,i-patat,I patat 1,https://rs-menus-api.roocdn.com/images/f6f11b80-9855-4ff1-9ee6-738658597d30/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
i-patat-2,i-patat,I patat 2,https://rs-menus-api.roocdn.com/images/19261feb-5494-487a-8ae1-c0e5384d2b87/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
i-patat-3,i-patat,I patat 3,https://rs-menus-api.roocdn.com/images/512bc301-c466-4933-b9c8-96066f1499c4/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
i-patat-4,i-patat,I patat 4,https://rs-menus-api.roocdn.com/images/ace720b9-dfd7-4ccd-ad58-0880f82e947a/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
i-patat-5,i-patat,I patat 5,https://rs-menus-api.roocdn.com/images/056287d3-8d92-4eef-a833-89e825f4b5f7/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
i-patat-6,i-patat,I patat 6,https://rs-menus-api.roocdn.com/images/6fd39527-f6a7-43ff-81dd-5fc9160cad3d/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
i-patat-7,i-patat,I patat 7,https://rs-menus-api.roocdn.com/images/3d1bb4d7-aa00-4705-b6fa-c962335004b9/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
i-patat-8,i-patat,I patat 8,https://rs-menus-api.roocdn.com/images/9b9ae115-226e-483f-a6e5-03ab8747a707/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
i-patat-9,i-patat,I patat 9,
calzone-farcito,calzone,Calzone farcito,
l-hamburgherino,calzoncini,L'hamburgherino,https://rs-menus-api.roocdn.com/images/e2be2183-2bef-442e-a583-8650a251beeb/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
calzoncino-10,calzoncini,Calzoncino 10,https://rs-menus-api.roocdn.com/images/2e746c66-d46d-471c-8820-5b7a68d2d930/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
